Contract Identifier,Instrument Identifier,Channel of Origination,Date of Origination,Country of Origination,Asset Class,Loan Purpose,Product Type,Amortisation Type,Original Maturity Date,Current Maturity Date,Loan Currency,Origination Amount,Principal Balance,Accrued Interest Balance (On book),Total Balance,Original Interest Rate,Original Interest Rate Type,Current Interest Rate Type,Current Interest Rate Reference,Early Redemption Penalty,Last Payment Date,Last Payment Amount,Next Principal Scheduled Repayment Amount,Loan Status,Days in Past-Due
A00019368,LP19305,Broker,3/10/2015,USA,Resi,Mortage,Loan,Linear,3/2/2045,3/1/2050,USD,126142.8571,113528.5714,21.44428571,113550.0157,0.04,fixed,fixed,,0.03,7/26/2019,350.3968254,350.3968254,non-performing,97
A00019369,LP19306,Branch,3/11/2015,USA,Resi,Mortage,Loan,Linear,3/3/2045,3/2/2050,USD,122857.1429,120400,20.88571429,120420.8857,0.04,fixed,fixed,,0.03,7/26/2019,472.5274725,341.2698413,non-performing,93
A00019370,LP19307,Branch,3/12/2015,USA,Resi,Mortage,Loan,Linear,3/4/2045,3/3/2050,USD,119571.4286,113592.8571,20.32714286,113613.1843,0.04,fixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,,90
A00019371,LP19308,Web,3/13/2015,USA,Resi,Mortage,Loan,Linear,3/5/2045,3/3/2053,USD,116285.7143,110471.4286,19.76857143,110491.1971,0.04,fixed,fixed,,0.03,7/29/2019,323.015873,323.015873,non-performing,92
A00019372,LP19309,Broker,3/14/2015,USA,Resi,Mortage,Loan,Linear,3/6/2045,3/11/2045,USD,150000,142500,25.5,142525.5,0.04,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,180
A00019373,LP19310,Branch,3/15/2015,USA,Resi,Mortage,Loan,Linear,3/7/2045,3/12/2045,USD,100000,95000,500,95500,0.04,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,170
A00019374,LP19311,Web,3/16/2015,USA,Resi,Mortage,Loan,Linear,3/8/2045,3/13/2045,USD,85000,76500,212.5,76712.5,0.04,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,213
A00019375,LP19312,Broker,3/17/2015,USA,Resi,Mortage,Loan,Linear,3/9/2045,3/14/2045,USD,200000,196000,540,196540,0.05,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,,20
A00019376,LP19313,Branch,3/18/2015,USA,Resi,Mortage,Loan,Linear,3/10/2045,3/15/2045,USD,150000,142500,867,143367,0.04145402299,mixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,90
A00019377,LP19314,Branch,3/19/2015,USA,Resi,Mortage,Loan,Linear,3/11/2045,3/16/2045,USD,136000,122400,680,123080,0.04155858361,variable,fixed,LIBOR,0.03,7/26/2019,377.7777778,377.7777778,non-performing,91
A00019378,LP19315,Web,3/20/2015,USA,Resi,Mortage,Loan,Linear,3/12/2045,3/11/2051,USD,156333.3333,153206.6667,26.57666667,153233.2433,0.04166314423,fixed,fixed,,0.03,7/26/2019,434.2592593,434.2592593,non-performing,95
A00019379,LP19316,Broker,3/21/2015,USA,CRE,Mortage,Loan,Linear,3/13/2045,3/12/2050,USD,161904.7619,153809.5238,809.5238095,154619.0476,0.04176770486,fixed,fixed,,0.03,7/26/2019,449.7354497,449.7354497,non-performing,97
A00019380,LP19317,Branch,3/22/2015,USA,Resi,Mortage,Loan,Linear,3/14/2045,3/13/2050,USD,167476.1905,159102.381,837.3809524,159939.7619,0.04187226548,mixed,fixed,,0.03,7/26/2019,465.2116402,465.2116402,non-performing,93
A00019381,LP19318,Web,3/23/2015,USA,Resi,Mortage,Loan,Linear,3/15/2045,3/14/2050,USD,173047.619,173082.2286,432.6190476,173514.8476,0.0419768261,fixed,fixed,,0.03,7/26/2019,480.6878307,480.6878307,non-performing,213
A00019382,LP19319,Broker,3/24/2015,USA,Resi,Mortage,Loan,Linear,3/16/2045,3/15/2050,USD,178619.0476,169688.0952,482.2714286,170170.3667,0.04208138673,fixed,fixed,,0.03,7/26/2019,496.1640212,496.1640212,,20
A00019383,LP19320,Branch,3/25/2015,USA,Resi,Mortage,Loan,Linear,3/17/2045,3/16/2050,USD,184190.4762,165771.4286,1064.620952,166836.0495,0.04218594735,fixed,fixed,,0.03,7/26/2019,511.6402116,511.6402116,,90
A00019384,LP19321,Branch,3/26/2015,USA,Resi,Mortage,Loan,Linear,3/18/2045,3/16/2053,USD,189761.9048,185966.6667,948.8095238,186915.4762,0.04229050797,fixed,fixed,,0.03,7/23/2019,527.1164021,527.1164021,non-performing,91
A00019385,LP19322,Web,3/27/2015,USA,Resi,Mortage,Loan,Linear,3/19/2045,3/24/2045,USD,195333.3333,185566.6667,33.20666667,185599.8733,0.04239506859,fixed,fixed,,0.03,7/26/2019,542.5925926,542.5925926,non-performing,95
A00019386,LP19323,Broker,3/28/2015,USA,Resi,Mortage,Loan,Linear,3/20/2045,3/25/2045,USD,200000,190000,1000,191000,0.04249962922,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,97
A00019387,LP19324,Branch,3/29/2015,USA,Resi,Mortage,Loan,Balloon,3/21/2045,3/26/2045,USD,150000,142500,750,143250,0.04260418984,mixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,93
A00019388,LP19325,Web,3/30/2015,USA,Resi,Mortage,Loan,Linear,3/22/2045,3/27/2045,USD,100000,95000,250,95250,0.04270875046,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,,20
A00019389,LP19326,Broker,3/31/2015,USA,Resi,Mortage,Loan,Linear,3/23/2045,3/28/2045,USD,85000,76500,229.5,76729.5,0.04281331109,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,,90
A00019390,LP19327,Branch,4/1/2015,USA,Resi,Mortage,Loan,Linear,3/24/2045,3/29/2045,USD,200000,196000,1156,197156,0.04291787171,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,91
A00019391,LP19328,Branch,4/2/2015,USA,Resi,Mortage,Loan,Linear,3/25/2045,3/24/2051,USD,150000,142500,750,143250,0.04302243233,mixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,95
A00019392,LP19329,Web,4/3/2015,USA,Resi,Mortage,Loan,Linear,3/26/2045,3/25/2050,USD,136000,122400,23.12,122423.12,0.04312699296,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,non-performing,97
A00019393,LP19330,Broker,4/4/2015,USA,Resi,Mortage,Loan,Linear,3/27/2045,3/26/2050,USD,132714.2857,130060,22.56142857,130082.5614,0.04323155358,fixed,fixed,,0.03,7/26/2019,368.6507937,368.6507937,non-performing,93
A00019394,LP19331,Branch,4/5/2015,USA,Resi,Mortage,Loan,Linear,3/28/2045,3/27/2050,USD,129428.5714,122957.1429,22.00285714,122979.1457,0.0433361142,fixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,,20
A00019395,LP19332,Web,4/6/2015,USA,CRE,Mortage,Loan,Linear,3/29/2045,3/28/2050,USD,126142.8571,119835.7143,315.3571429,120151.0714,0.04344067482,fixed,fixed,,0.03,7/26/2019,350.3968254,350.3968254,,90
A00019396,LP19333,Broker,4/7/2015,USA,Resi,Mortage,Loan,Linear,3/30/2045,3/29/2050,USD,122857.1429,122881.7143,331.7142857,123213.4286,0.04354523545,fixed,fixed,,0.03,7/26/2019,341.2698413,341.2698413,non-performing,91
A00019397,LP19334,Branch,4/8/2015,USA,Resi,Mortage,Loan,Linear,3/31/2045,3/29/2053,USD,119571.4286,113592.8571,691.1228571,114283.98,0.04364979607,fixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,non-performing,95
A00019398,LP19335,Branch,4/9/2015,USA,Resi,Mortage,Loan,Linear,4/1/2045,4/6/2045,USD,116285.7143,104657.1429,581.4285714,105238.5714,0.04375435669,fixed,fixed,,0.03,7/26/2019,323.015873,323.015873,non-performing,97
A00019399,LP19336,Web,4/10/2015,USA,Resi,Mortage,Loan,Linear,4/2/2045,4/7/2045,USD,200000,196000,34,196034,0.04385891732,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,93
A00019400,LP19337,Broker,4/11/2015,USA,Resi,Mortage,Loan,Linear,4/3/2045,4/8/2045,USD,150000,142500,750,143250,0.04396347794,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,20
A00019401,LP19338,Branch,4/12/2015,USA,Resi,Mortage,Loan,Linear,4/4/2045,4/9/2045,USD,100000,95000,500,95500,0.04406803856,fixed,fixed,,0.03,7/26/2019,370.3703704,277.7777778,,90
A00019402,LP19339,Web,4/13/2015,USA,Resi,Mortage,Loan,Linear,4/5/2045,4/10/2045,USD,85000,80750,212.5,80962.5,0.04417259918,fixed,fixed,,0.03,7/26/2019,0,236.1111111,non-performing,91
A00019403,LP19340,Broker,4/14/2015,USA,Resi,Mortage,Loan,Linear,4/6/2045,4/11/2045,USD,200000,190000,540,190540,0.04427715981,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,95
A00019404,LP19341,Branch,4/15/2015,USA,Resi,Mortage,Loan,Linear,4/7/2045,4/6/2051,USD,150000,135000,867,135867,0.04438172043,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,97
A00019405,LP19342,Branch,4/16/2015,USA,Resi,Mortage,Loan,Linear,4/8/2045,4/7/2050,USD,136000,133280,680,133960,0.04448628105,mixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,non-performing,93
A00019406,LP19343,Web,4/17/2015,USA,Resi,Mortage,Loan,Linear,4/9/2045,4/8/2050,USD,132714.2857,126078.5714,22.56142857,126101.1329,0.04459084168,variable,fixed,LIBOR,0.03,7/26/2019,368.6507937,368.6507937,,90
A00019407,LP19344,Broker,4/18/2015,USA,Resi,Mortage,Loan,Balloon,4/10/2045,4/9/2050,USD,129428.5714,116485.7143,22.00285714,116507.7171,0.0446954023,fixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,non-performing,92
A00019408,LP19345,Branch,4/19/2015,USA,Resi,Mortage,Loan,Linear,4/11/2045,4/10/2050,USD,126142.8571,123620,21.44428571,123641.4443,0.04479996292,fixed,fixed,,0.03,7/26/2019,350.3968254,350.3968254,,20
A00019409,LP19346,Web,4/20/2015,USA,Resi,Mortage,Loan,Linear,4/12/2045,4/11/2050,USD,122857.1429,116714.2857,307.1428571,117021.4286,0.04490452354,mixed,fixed,,0.03,7/23/2019,341.2698413,341.2698413,,90
A00019410,LP19347,Broker,4/21/2015,USA,Resi,Mortage,Loan,Linear,4/13/2045,4/11/2053,USD,119571.4286,113592.8571,322.8428571,113915.7,0.04,fixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,non-performing,91
A00019411,LP19348,Branch,4/22/2015,USA,CRE,Mortage,Loan,Linear,4/14/2045,4/19/2045,USD,116285.7143,116308.9714,672.1314286,116981.1029,0.035,fixed,fixed,,0.03,7/26/2019,323.015873,323.015873,non-performing,95
A00019412,LP19349,Branch,4/23/2015,USA,Resi,Mortage,Loan,Linear,4/15/2045,4/20/2045,USD,150000,142500,750,143250,0.04,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,97
A00019413,LP19350,Web,4/24/2015,USA,Resi,Mortage,Loan,Linear,4/16/2045,4/21/2045,USD,100000,90000,17,90017,0.04,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,93
A00019414,LP19351,Broker,4/25/2015,USA,Resi,Mortage,Loan,Linear,4/17/2045,4/22/2045,USD,85000,83300,425,83725,0.04,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,,20
A00019415,LP19352,Branch,4/26/2015,USA,Resi,Mortage,Loan,Linear,4/18/2045,4/23/2045,USD,200000,190000,1000,191000,0.0375,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,,90
A00019416,LP19353,Web,4/27/2015,USA,Resi,Mortage,Loan,Linear,4/19/2045,4/24/2045,USD,150000,142500,375,142875,0.04,mixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,91
A00019417,LP19354,Broker,4/28/2015,USA,Resi,Mortage,Loan,Linear,4/20/2045,4/19/2051,USD,136000,129200,367.2,129567.2,0.04,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,non-performing,95
A00019418,LP19355,Branch,4/29/2015,USA,Resi,Mortage,Loan,Linear,4/21/2045,4/20/2050,USD,156333.3333,148516.6667,903.6066667,149420.2733,0.04,fixed,fixed,,0.03,7/26/2019,434.2592593,434.2592593,non-performing,97
A00019419,LP19356,Branch,4/30/2015,USA,Resi,Mortage,Loan,Linear,4/22/2045,4/21/2050,USD,161904.7619,145714.2857,809.5238095,146523.8095,0.04,fixed,fixed,,0.03,7/26/2019,449.7354497,449.7354497,non-performing,93
A00019420,LP19357,Web,5/1/2015,USA,Resi,Mortage,Loan,Linear,4/23/2045,4/22/2050,USD,167476.1905,164126.6667,28.47095238,164155.1376,0.04,mixed,fixed,,0.03,7/26/2019,465.2116402,465.2116402,,20
A00019421,LP19358,Broker,5/2/2015,USA,Resi,Mortage,Loan,Linear,4/24/2045,4/23/2050,USD,173047.619,164395.2381,29.41809524,164424.6562,0.04,fixed,fixed,,0.03,7/26/2019,480.6878307,480.6878307,,90
A00019422,LP19359,Branch,5/3/2015,USA,Resi,Mortage,Loan,Linear,4/25/2045,4/24/2050,USD,178619.0476,160757.1429,30.3652381,160787.5081,0.0375,fixed,fixed,,0.03,7/22/2019,496.1640212,496.1640212,non-performing,91
A00019423,LP19360,Web,5/4/2015,USA,Resi,Mortage,Loan,Linear,4/26/2045,4/24/2053,USD,184190.4762,180506.6667,460.4761905,180967.1429,0.04,fixed,fixed,,0.03,7/26/2019,511.6402116,511.6402116,non-performing,95
A00019424,LP19361,Broker,5/5/2015,USA,Resi,Mortage,Loan,Linear,4/27/2045,5/2/2045,USD,189761.9048,180273.8095,512.3571429,180786.1667,0.04,fixed,fixed,,0.03,7/26/2019,527.1164021,527.1164021,non-performing,97
A00019425,LP19362,Branch,5/6/2015,USA,Resi,Mortage,Loan,Linear,4/28/2045,5/3/2045,USD,195333.3333,185566.6667,1129.026667,186695.6933,0.04,fixed,fixed,,0.03,7/26/2019,542.5925926,542.5925926,non-performing,93
A00019426,LP19363,Branch,5/7/2015,USA,Resi,Mortage,Loan,Linear,4/29/2045,5/4/2045,USD,200000,200040,1000,201040,0.035,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,,20
A00019427,LP19364,Web,5/8/2015,USA,CRE,Mortage,Loan,Balloon,4/30/2045,5/5/2045,USD,150000,142500,25.5,142525.5,0.04,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,90
A00019428,LP19365,Broker,5/9/2015,USA,Resi,Mortage,Loan,Linear,5/1/2045,5/6/2045,USD,100000,90000,500,90500,0.04,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,91
A00019429,LP19366,Branch,5/10/2015,USA,Resi,Mortage,Loan,Linear,5/2/2045,5/7/2045,USD,85000,83300,425,83725,0.04,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,95
A00019430,LP19367,Web,5/11/2015,USA,Resi,Mortage,Loan,Linear,5/3/2045,5/2/2051,USD,200000,190000,500,190500,0.04,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,97
A00019431,LP19368,Broker,5/12/2015,USA,Resi,Mortage,Loan,Linear,5/4/2045,5/3/2050,USD,150000,142500,405,142905,0.04,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,93
A00019432,LP19369,Branch,5/13/2015,USA,Resi,Mortage,Loan,Linear,5/5/2045,5/4/2050,USD,136000,129200,786.08,129986.08,0.04,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,,90
A00019433,LP19370,Branch,5/14/2015,USA,Resi,Mortage,Loan,Linear,5/6/2045,5/5/2050,USD,132714.2857,126078.5714,663.5714286,126742.1429,0.04,fixed,fixed,,0.03,7/26/2019,368.6507937,368.6507937,non-performing,92
A00019434,LP19371,Web,5/15/2015,USA,Resi,Mortage,Loan,Linear,5/7/2045,5/6/2050,USD,129428.5714,116485.7143,349.4571429,116835.1714,0.04,mixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,non-performing,91
A00019435,LP19372,Broker,5/16/2015,USA,Resi,Mortage,Loan,Linear,5/8/2045,5/7/2050,USD,126142.8571,123620,729.1057143,124349.1057,0.04,variable,fixed,LIBOR,0.03,7/23/2019,350.3968254,350.3968254,non-performing,95
A00019436,LP19373,Branch,5/17/2015,USA,Resi,Mortage,Loan,Linear,5/9/2045,5/7/2053,USD,122857.1429,116714.2857,614.2857143,117328.5714,0.04,fixed,fixed,,0.03,7/26/2019,341.2698413,341.2698413,non-performing,97
A00019437,LP19374,Web,5/18/2015,USA,Resi,Mortage,Loan,Linear,5/10/2045,5/15/2045,USD,119571.4286,107614.2857,20.32714286,107634.6129,0.04,fixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,non-performing,93
A00019438,LP19375,Broker,5/19/2015,USA,Resi,Mortage,Loan,Linear,5/11/2045,5/16/2045,USD,116285.7143,113960,19.76857143,113979.7686,0.04,mixed,fixed,,0.03,7/26/2019,323.015873,323.015873,,90
A00019439,LP19376,Branch,5/20/2015,USA,Resi,Mortage,Loan,Linear,5/12/2045,5/17/2045,USD,200000,190000,34,190034,0.05,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,92
A00019440,LP19377,Branch,5/21/2015,USA,Resi,Mortage,Loan,Linear,5/13/2045,5/18/2045,USD,150000,142500,375,142875,0.04145402299,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,180
A00019441,LP19378,Web,5/22/2015,USA,Resi,Mortage,Loan,Linear,5/14/2045,5/19/2045,USD,100000,100020,270,100290,0.04155858361,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,170
A00019442,LP19379,Broker,5/23/2015,USA,Resi,Mortage,Loan,Linear,5/15/2045,5/20/2045,USD,85000,80750,491.3,81241.3,0.04166314423,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,213
A00019443,LP19380,Branch,5/24/2015,USA,CRE,Mortage,Loan,Linear,5/16/2045,5/15/2051,USD,200000,180000,1000,181000,0.04176770486,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,,20
A00019444,LP19381,Web,5/25/2015,USA,Resi,Mortage,Loan,Linear,5/17/2045,5/16/2050,USD,150000,147000,25.5,147025.5,0.04187226548,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,90
A00019445,LP19382,Broker,5/26/2015,USA,Resi,Mortage,Loan,Linear,5/18/2045,5/17/2050,USD,136000,129200,680,129880,0.0419768261,mixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,non-performing,91
A00019446,LP19383,Branch,5/27/2015,USA,Resi,Mortage,Loan,Linear,5/19/2045,5/18/2050,USD,132714.2857,126078.5714,663.5714286,126742.1429,0.04208138673,fixed,fixed,,0.03,7/26/2019,368.6507937,368.6507937,non-performing,95
A00019447,LP19384,Branch,5/28/2015,USA,Resi,Mortage,Loan,Balloon,5/20/2045,5/19/2050,USD,129428.5714,122957.1429,323.5714286,123280.7143,0.04218594735,fixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,non-performing,97
A00019448,LP19385,Web,5/29/2015,USA,Resi,Mortage,Loan,Linear,5/21/2045,5/20/2050,USD,126142.8571,119835.7143,340.5857143,120176.3,0.04229050797,fixed,fixed,,0.03,7/29/2019,350.3968254,350.3968254,non-performing,93
A00019449,LP19386,Broker,5/30/2015,USA,Resi,Mortage,Loan,Linear,5/22/2045,5/20/2053,USD,122857.1429,110571.4286,710.1142857,111281.5429,0.04239506859,mixed,fixed,,0.03,7/26/2019,341.2698413,341.2698413,non-performing,213
A00019450,LP19387,Branch,5/31/2015,USA,Resi,Mortage,Loan,Linear,5/23/2045,5/28/2045,USD,119571.4286,117180,597.8571429,117777.8571,0.04249962922,fixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,,20
A00019451,LP19388,Web,6/1/2015,USA,Resi,Mortage,Loan,Linear,5/24/2045,5/29/2045,USD,116285.7143,110471.4286,313.9714286,110785.4,0.04260418984,fixed,fixed,,0.03,7/26/2019,258.4126984,323.015873,,90
A00019452,LP19389,Broker,6/2/2015,USA,Resi,Mortage,Loan,Linear,5/25/2045,5/30/2045,USD,150000,135000,867,135867,0.04270875046,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,91
A00019453,LP19390,Branch,6/3/2015,USA,Resi,Mortage,Loan,Linear,5/26/2045,5/31/2045,USD,100000,98000,500,98500,0.04281331109,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,95
A00019454,LP19391,Branch,6/4/2015,USA,Resi,Mortage,Loan,Linear,5/27/2045,6/1/2045,USD,85000,80750,14.45,80764.45,0.04291787171,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,97
A00019455,LP19392,Web,6/5/2015,USA,Resi,Mortage,Loan,Linear,5/28/2045,6/2/2045,USD,200000,190000,34,190034,0.04302243233,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,93
A00019456,LP19393,Broker,6/6/2015,USA,Resi,Mortage,Loan,Linear,5/29/2045,5/28/2051,USD,150000,150030,25.5,150055.5,0.04312699296,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,20
A00019457,LP19394,Branch,6/7/2015,USA,Resi,Mortage,Loan,Linear,5/30/2045,5/29/2050,USD,136000,129200,340,129540,0.04323155358,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,,90
A00019458,LP19395,Web,6/8/2015,USA,Resi,Mortage,Loan,Linear,5/31/2045,5/30/2050,USD,156333.3333,140700,422.1,141122.1,0.0433361142,fixed,fixed,,0.03,7/26/2019,434.2592593,434.2592593,non-performing,91
A00019459,LP19396,Broker,6/9/2015,USA,CRE,Mortage,Loan,Linear,6/1/2045,5/31/2050,USD,161904.7619,158666.6667,935.8095238,159602.4762,0.04344067482,fixed,fixed,,0.03,7/26/2019,449.7354497,449.7354497,non-performing,95
